Image,CRITICAL,HIGH,MEDIUM,LOW,UNKNOWN
mailhog_mailhog_latest,88,1040,892,23,42
rancher_klipper-helm_v0.8.4-build20240523,17,132,205,12,12
grafana_promtail_2.9.2,9,42,100,101,6
rancher_mirrored-coredns-coredns_1.10.1,4,24,40,1,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_loadgenerator_v0.10.3,3,15,56,89,1
rancher_mirrored-library-traefik_2.10.7,3,14,62,7,4
grafana_loki_2.9.2,2,15,63,5,4
rancher_local-path-provisioner_v0.0.28,2,12,44,7,4
rancher_mirrored-metrics-server_v0.7.0,2,8,29,0,5
us-central1-docker.pkg.dev_google-samples_microservices-demo_recommendationservice_v0.10.3,2,5,17,6,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_currencyservice_v0.10.3,1,6,9,10,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_paymentservice_v0.10.3,1,6,10,10,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_adservice_v0.10.3,0,8,21,11,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_frontend_v0.10.3,0,6,18,0,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_shippingservice_v0.10.3,0,6,18,0,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_checkoutservice_v0.10.3,0,6,18,0,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_emailservice_v0.10.3,0,5,21,6,2
rancher_klipper-lb_v0.4.9,0,4,9,7,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_productcatalogservice_v0.10.3,0,4,17,0,2
otel_opentelemetry-collector-contrib_0.139.0,0,1,2,0,2
redis_alpine,0,0,3,3,0
grafana_tempo_latest,0,0,0,0,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_cartservice_v0.10.3,0,0,5,6,0
grafana_grafana_latest,0,0,6,3,6
prom_prometheus_latest,0,0,4,0,4
prom_alertmanager_latest,0,0,4,0,4
python_3.9-slim,0,0,3,51,0
prom_pushgateway_latest,0,0,2,0,2
